Date_Time,Vehicle_ID,Battery_Capacity_kWh,State_of_Charge_%,Energy_Consumption_Rate_kWh/km,Current_Latitude,Current_Longitude,Destination_Latitude,Destination_Longitude,Distance_to_Destination_km,Traffic_Data,Road_Conditions,Charging_Station_ID,Charging_Rate_kW,Queue_Time_mins,Station_Capacity_EV,Time_Spent_Charging_mins,Energy_Drawn_kWh,Session_Start_Hour,Fleet_Size,Fleet_Schedule,Temperature_C,Wind_Speed_m/s,Precipitation_mm,Weekday,Charging_Preferences,Weather_Conditions,Charging_Load_kW
1/1/2017 0:00,106,66.74648266254076,50.21652430133613,0.15352061145958404,32.77726610445472,-96.78830072,32.78401369543186,-96.79577574,30.531143653781893,3,Good,2,49.530709037912025,5.676949302510731,1,93.14410493976469,43.01222942901983,6,10,0,13.95436777542865,0.14476472559215217,0.7122112062340407,1,0,Cloudy,30.839677303086354
1/1/2017 1:00,106,82.73149608675611,59.35860895202389,0.1191012301118213,32.779135789657865,-96.78613687,32.77840584608465,-96.79830952,1.0043047407380723,1,Good,2,45.67612424947354,6.363058050459475,2,46.377220968025355,37.02465498690782,6,10,0,38.926465956204495,0.4610608000161629,2.746260182112304,3,0,Cloudy,47.3546905543476
1/1/2017 2:00,106,82.10791250617234,14.460831390483259,0.1,32.76934627138802,-96.80246963,32.77048658436465,-96.79595298,5.289771505107839,3,Good,2,39.171251740476926,4.219566772358059,2,43.91859671651137,28.181674756818197,6,50,0,22.16451582255089,0.7083763717959422,2.5021564838270822,4,1,Clear,44.45919797721604
1/1/2017 3:00,106,95.52675184898632,23.00392287808945,0.2865052692432278,32.76609296473942,-96.79022923,32.765744522243374,-96.81885534,7.267379875744123,2,Good,2,52.98092424306089,7.508617768062416,4,48.082260273006675,43.909071699814035,6,200,0,16.000844794380207,1.591272852846274,1.7969159676969868,3,0,Clear,52.468800684852035
1/1/2017 4:00,106,61.24759734272442,9.064809541292624,0.1,32.79617431053587,-96.78242086,32.765488716421494,-96.79124066,32.44905833453164,1,Good,2,35.79384742754594,7.3190327756112685,2,56.12737685228936,58.99922402842408,6,10,1,23.17036760113368,1.7535000850071225,1.547111809079609,2,0,Clear,53.47375636390178
1/1/2017 5:00,106,73.13779229590847,27.886232924408482,0.16266357528876274,32.78081919444775,-96.79246434,32.77426031538899,-96.78354986,38.024462541362496,3,Average,2,38.73920735668478,0.2665096806553666,4,58.709339870962715,25.222368175164465,6,100,0,16.85671758714144,6.746994281266559,3.206711969282507,3,0,Clear,63.17696242058638
1/1/2017 6:00,106,44.83555665383058,28.144333754250482,0.1276377729573664,32.76922369699522,-96.79586589,32.77604275342915,-96.80638718,18.709763545248457,1,Average,2,49.2796874573039,1.8296195076824868,4,75.44614135891005,27.073987872181462,6,10,0,18.856297753087496,0.3916109297481418,0.6852953045654115,0,1,Clear,29.385101378706153
1/1/2017 7:00,106,67.60794862554857,16.41882425954352,0.1,32.80843594548024,-96.79915969,32.79063687301836,-96.8036048,15.277552159915299,2,Good,2,35.33434538888409,1.095417016818107,4,30.5942020312315,26.489409889467694,6,50,0,30.237666342832103,1.8981376887787673,3.0841770362438714,0,0,Clear,32.82520904149533
1/1/2017 8:00,106,80.8886962560369,11.207916724476432,0.14358722520581899,32.77522810024804,-96.78941374,32.781827581341794,-96.80546684,19.636505018376706,1,Average,2,50.948785826656945,1.1832464862963519,4,46.81135718153611,37.907291837072684,6,10,0,8.537351031402586,0.12735465195280984,0.45390613665797386,2,0,Cloudy,30.255780905414248
1/1/2017 9:00,106,61.062229996041616,28.42042234942242,0.1,32.777800883183545,-96.80717597,32.77460182933377,-96.80398505,17.257350779507338,6,Good,2,53.75790430854412,0.3062370047074003,1,38.19608905586962,29.602847027128636,6,10,0,21.854701116242182,0.5437882120903382,1.631103425461309,0,0,Clear,56.81517820664548
1/1/2017 10:00,106,76.19747718323556,40.10612341035756,0.1,32.77856352372045,-96.79972917,32.771388910018324,-96.80827952,98.26327497019885,4,Good,2,59.875988256806394,0.6579927513024906,4,71.25626713400459,39.81015735566058,6,50,0,36.030713654127915,0.9762830678838454,1.3222161070216742,0,0,Cloudy,43.73780846129654
1/1/2017 11:00,106,72.60725247514388,11.013740138973208,0.3,32.77508760259354,-96.80501137,32.780786527194735,-96.79786841,13.45847297982892,0,Good,2,47.81518211390103,5.573742239638878,4,69.96911626323451,56.97239641824565,6,50,0,22.16835124461723,2.56041025568779,6.147682731374458,6,0,Clear,37.21220595550114
1/1/2017 12:00,106,75.33332739917975,65.20872364287307,0.1,32.755689118114766,-96.80899705,32.78841447627866,-96.80317225,9.495314951125613,1,Good,2,45.564097821171465,2.44092196361335,2,69.32933797942042,24.89886354662946,6,10,0,33.085091915101714,0.23530687542220505,0.9364713002114597,4,0,Cloudy,42.66809329106056
1/1/2017 13:00,106,68.58310629594982,20.11962943250819,0.1,32.799800064485744,-96.81655116,32.76060329852036,-96.81146271,6.86748413701007,3,Good,2,62.234723332584785,3.7769928468480396,2,44.90448719826711,50.99052772706249,6,200,0,12.585944975098517,0.2346090150775626,3.634298228598357,6,0,Clear,32.81084907084925
1/1/2017 14:00,106,67.02273884672658,9.762561795885055,0.21679989044949438,32.78327471159305,-96.79279412,32.77095987597859,-96.80703289,4.660288055471343,3,Good,2,51.810642951212024,6.505259708083065,4,83.9816151368239,26.706652646076005,6,50,0,15.500605735683875,0.9337017711443284,2.805650691060118,4,1,Cloudy,42.92998303185259
1/1/2017 15:00,106,73.23786747342974,28.649402281548532,0.12586317214241724,32.77639839498838,-96.79707726,32.785119832875786,-96.80223826,3.872954946137953,1,Good,2,64.10197973271873,0.8370397679448133,2,50.85517940685627,66.04398147186073,6,100,0,9.518978548840579,1.065429966104729,0.787693066536533,6,1,Clear,35.617133865571205
1/1/2017 16:00,106,78.33118352347114,22.02446496429614,0.3,32.77533911352366,-96.79894579,32.78612085629608,-96.80267311,1.7897925858529535,1,Good,2,37.7593811976362,2.7283682459514136,6,47.59432164644284,45.28741221606249,6,10,0,5.957912354949993,1.5839607440625179,1.2627959760430436,1,0,Cloudy,13.734896441220652
1/1/2017 17:00,106,63.480352470853845,61.34009484966497,0.1,32.78657472789907,-96.79052394,32.77224363876073,-96.7829903,9.48384677986391,1,Average,2,53.808279283282594,0.47819812985439697,4,81.06470714557828,45.77909784897298,6,50,1,31.82764812786386,1.0746368559963488,1.7429155741940707,1,0,Cloudy,27.309083319067675
1/1/2017 18:00,106,77.13696903579982,34.850155508909516,0.1,32.78234298903867,-96.78043434,32.77115415349734,-96.79825914,8.969753996630391,1,Poor,2,60.83155904661016,3.6349432668011588,4,38.71738560656124,35.95475622784622,6,200,0,10.807980446785601,3.945184639118373,8.264279036311837,1,0,Clear,48.90588644593248
1/1/2017 19:00,106,74.48021723658601,20.616042472601894,0.3,32.762056825276645,-96.7926979,32.77601347546756,-96.77706099,2.2024535862682897,1,Good,2,29.582381215672072,0.5504527349569952,6,67.5008777499201,38.54565829040745,6,10,0,11.606430379647337,0.2575428076431919,3.107920681446792,3,0,Rain,46.04914516660657
1/1/2017 20:00,106,92.01508898253816,39.515191409740055,0.13913413045524112,32.78370102402477,-96.81687374,32.77162398065741,-96.78988432,1,0,Good,2,53.24767622286323,1.84543683111524,4,62.308085484156514,51.4048197569938,6,10,0,33.17647887525377,0.64665641122634,3.351404923267051,0,0,Cloudy,60.23493470453643
1/1/2017 21:00,106,73.42881677543352,17.20586770890799,0.3,32.764009516485416,-96.80431275,32.771952335369484,-96.80020763,8.601099026920568,2,Good,2,50.47767072619233,6.8121127599986036,4,42.15648390557678,40.30426579401946,6,10,0,40,3.7471595807832356,0.3958752377688944,0,0,Clear,49.6537723322148
